"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4696","Data-Driven: Книга + Наушники + Клавиатура","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2168","Негативный: оформление без ввода ID – ошибка","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3375","Позитивный: подсказка про купон появляется когда сумма > 10000","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","900","Позитивный: скидка пользователя отображается после ввода ID","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2510","Data-Driven: две Клавиатуры (12000 ₽)","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3959","Data-Driven: два Наушника (6000 ₽)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3901","Data-Driven: две Клавиатуры (12000 ₽)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2666","Последовательный: полный путь пользователя с купоном","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1481","Негативный: нечисловой ID – ошибка","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2","Применяются обе скидки без отправки купона","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Позитивные сценарии","",""
"","3389","Data-Driven: Блокнот (150 ₽)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2755","Data-Driven: два Наушника (6000 ₽)","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2","Чуть меньше 10000 — купон НЕ отправляется","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","2","Ровно 5000 — без автоскидки","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","4849","Позитивный: сумма > 10000 – купон выдается (coupon_sent = true)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2247","Негативный: пустая корзина – кнопка заблокирована","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1618","Негативный: отрицательный ID – ошибка","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3","Отрицательная цена","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Ошибки","",""
